,feature_source,parameters,Full,KTH_brown_bread,KTH_corduroy,KTH_aluminium_foil,KTH_linen,KTH_wool,KTH_orange_peel,KTH_sponge,KTH_cracker,KTH_cork,KTH_cotton,KTH_styrofoam
0,lbp,P:4_R:32_method:uniform_n_bins:50,0.588125,0.12195121951219512,0.8046875,0.4675925925925926,0.6575875486381323,0.4398148148148148,0.32,0.14634146341463414,0.029411764705882353,0.8101851851851852,0.6342412451361867,0.2926829268292683
0,lbp,P:4_R:32_method:uniform_n_bins:60,0.586875,0.07317073170731707,0.79296875,0.46296296296296297,0.6575875486381323,0.4583333333333333,0.36,0.0975609756097561,0.058823529411764705,0.8194444444444444,0.6342412451361867,0.24390243902439024
0,glcm,"distances:[1, 2]_angles:[0.0, 0.7853981633974483]",0.759375,0.6829268292682927,0.69140625,0.8472222222222222,0.8754863813229572,0.7546296296296297,0.64,0.5853658536585366,0.5294117647058824,0.7962962962962963,0.7237354085603113,0.5609756097560976
0,lbp,P:4_R:32_method:uniform_n_bins:70,0.585625,0.07317073170731707,0.80859375,0.4444444444444444,0.6459143968871596,0.49537037037037035,0.24,0.14634146341463414,0.029411764705882353,0.8101851851851852,0.6186770428015564,0.2682926829268293
0,lbp,P:4_R:32_method:uniform_n_bins:80,0.589375,0.0975609756097561,0.7890625,0.4537037037037037,0.6770428015564203,0.4675925925925926,0.28,0.17073170731707318,0.029411764705882353,0.8101851851851852,0.6264591439688716,0.3170731707317073
0,lbp,P:4_R:32_method:uniform_n_bins:90,0.591875,0.04878048780487805,0.796875,0.4722222222222222,0.6614785992217899,0.4583333333333333,0.24,0.21951219512195122,0.058823529411764705,0.8240740740740741,0.6342412451361867,0.2926829268292683
0,lbp,P:4_R:32_method:uniform_n_bins:100,0.588125,0.0975609756097561,0.8125,0.44907407407407407,0.6498054474708171,0.4722222222222222,0.28,0.12195121951219512,0.058823529411764705,0.8101851851851852,0.6264591439688716,0.3170731707317073
0,lbp,P:4_R:32_method:uniform_n_bins:110,0.588125,0.07317073170731707,0.7890625,0.4398148148148148,0.6653696498054474,0.4861111111111111,0.36,0.17073170731707318,0.029411764705882353,0.8287037037037037,0.622568093385214,0.21951219512195122
0,glcm,"distances:[1, 2]_angles:[0.0, 0.7853981633974483, 1.5707963267948966]",0.784375,0.6829268292682927,0.73828125,0.8611111111111112,0.8793774319066148,0.8009259259259259,0.68,0.6829268292682927,0.5294117647058824,0.8009259259259259,0.7431906614785992,0.6341463414634146
0,lbp,P:4_R:32_method:uniform_n_bins:120,0.581875,0.12195121951219512,0.8046875,0.44907407407407407,0.6498054474708171,0.47685185185185186,0.36,0.14634146341463414,0.0,0.7870370370370371,0.6108949416342413,0.2682926829268293
0,lbp,P:4_R:32_method:uniform_n_bins:130,0.5825,0.07317073170731707,0.78515625,0.4398148148148148,0.6459143968871596,0.4722222222222222,0.44,0.14634146341463414,0.0,0.8194444444444444,0.6264591439688716,0.24390243902439024
0,lbp,P:4_R:32_method:uniform_n_bins:140,0.588125,0.0975609756097561,0.8046875,0.4583333333333333,0.6614785992217899,0.4537037037037037,0.32,0.14634146341463414,0.058823529411764705,0.8148148148148148,0.6303501945525292,0.24390243902439024
0,lbp,P:4_R:32_method:uniform_n_bins:150,0.59875,0.12195121951219512,0.8125,0.4444444444444444,0.6731517509727627,0.49537037037037035,0.36,0.17073170731707318,0.058823529411764705,0.8148148148148148,0.6381322957198443,0.2682926829268293
0,glcm,"distances:[1, 2]_angles:[0.0, 0.7853981633974483, 1.5707963267948966, 2.356194490192345]",0.78875,0.7073170731707317,0.7265625,0.8611111111111112,0.8560311284046692,0.8240740740740741,0.68,0.6829268292682927,0.6176470588235294,0.8425925925925926,0.7392996108949417,0.6097560975609756
